role,generation,mean_fitness,size,optimal_genotype,interaction_values
prey,184,0.7594821912097599,4076,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,185,0.7595977694239276,4024,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,186,0.7604850663684057,4011,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,187,0.7588491632953889,3969,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,188,0.7619995859377949,3983,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,189,0.7606299928213073,4148,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,190,0.7614172162083703,4248,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,191,0.7572181710737412,4242,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,192,0.7581681041038849,4109,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,193,0.7598210122293179,3979,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,194,0.7606138779554409,4150,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,195,0.760171286349353,4130,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,196,0.7604629302847232,4213,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,197,0.7599592977284361,4261,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,198,0.7606459950883516,4272,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,199,0.7604398036734712,4302,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,0,0.46167823839893884,200,[0. 0. 0. 0. 0.],"(0.0, 0.0)"
predator,1,0.4714274015975922,207,[0.02798979 0.02600577 0.03053659 0.01321499 0.01436207],"(0.0, 0.0)"
predator,2,0.4840788155742933,195,[0.05695318 0.05494052 0.04088173 0.05299705 0.04594429],"(0.0, 0.0)"
predator,3,0.4994635637480937,204,[0.05804263 0.09440668 0.05673617 0.09568521 0.08607581],"(0.0, 0.0)"
predator,4,0.5185141429630077,194,[0.0919139  0.14276704 0.05746061 0.13322315 0.11136549],"(0.0, 0.0)"
predator,5,0.5215635594772968,192,[0.13455007 0.14414134 0.06260248 0.13902849 0.13777085],"(0.0, 0.0)"
predator,6,0.5289716480758093,217,[0.13709799 0.18861984 0.08614142 0.17733603 0.14173363],"(0.0, 0.0)"
predator,7,0.5395892680072147,232,[0.17713454 0.23588805 0.12354367 0.1860284  0.16130254],"(0.0, 0.0)"
predator,8,0.5481053633817646,253,[0.22259936 0.28082552 0.14621091 0.20123423 0.17643996],"(0.0, 0.0)"
predator,9,0.5753442704672339,260,[0.22613959 0.3160924  0.15299789 0.20570783 0.19637031],"(0.0, 0.0)"
predator,10,0.5838165005854399,291,[0.25892752 0.32902107 0.20086259 0.23281005 0.20747401],"(0.0, 0.0)"
predator,11,0.5928452834841652,336,[0.30122793 0.32930502 0.24290586 0.24035949 0.22411714],"(0.0, 0.0)"
